Production to Worldwide Ratio,Movie,IMDB
2.839748103,Terminator: Genisys,6.5
2.800776915,Cars 2,6.199999809
2.797445526,World War Z,7
2.78326582,Transformers: The Last Knight,5.199999809
2.754860329,Star Trek,8
2.707035344,Warcraft,6.900000095
2.697980323,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.300000191
2.683862179,G.I. Joe: Retaliation,5.800000191
2.68154042,Night at the Museum: Battle of the Smithsonian,5.900000095
2.65950414,King Kong,7.199999809
2.650008987,Mission: Impossible III,6.900000095
2.646926971,Captain America: The First Avenger,6.900000095
2.572574252,Quantum of Solace,6.599999905
2.547401741,Terminator 3: Rise of the Machines,6.300000191
2.546672857,Pirates of the Caribbean: On Stranger Tides,6.599999905
2.535826418,The Polar Express,6.599999905
2.4988384,X-Men Origins: Wolverine,6.699999809
2.47161444,Mad Max: Fury Road,8
2.459903074,Star Trek Into Darkness,7.800000191
2.451795255,Oz the Great and Powerful,6.300000191
2.394284813,Batman Begins,8.300000191
2.358951447,Snow White and the Huntsman,6
2.349359309,Independence Day: Resurgence,5.300000191
2.318629857,The Mummy: Tomb of the Dragon Emperor,5.199999809
2.255681692,Tangled,7.800000191
2.23033404,The Great Wall,6
2.221301906,X-Men: First Class,7.800000191
2.186956886,X-Men: The Last Stand,6.699999809
2.18676686,Bolt,6.900000095
2.181070743,Monsters vs. Aliens,6.5
2.18001981,Justice League,7
2.163173189,Pacific Rim,7
2.131425873,The Last Airbender,4.199999809
2.116557945,Rise of the Guardians,7.300000191
2.104273467,The Mummy,7
2.081692449,Edge of Tomorrow,7.900000095
2.060199738,The Curious Case of Benjamin Button,7.800000191
2.038571429,Lethal Weapon 4,6.599999905
2.035133887,Wrath of the Titans,5.800000191
2.000313815,Tron: Legacy,6.800000191
1.95211894,G-Force,5
1.939683672,The Legend of Tarzan,6.300000191
1.91729718,Bee Movie,6
1.916532236,Exodus: Gods and Kings,6
1.860734,Mr. Peabody & Sherman,6.800000191
1.854850169,The Chronicles of Narnia: Prince Caspian,6.599999905
1.847581153,The Great Gatsby,7.300000191
1.82745896,Terminator Salvation,6.599999905
1.818369254,Star Trek Beyond,7.1
1.791524673,The Golden Compass,6
1.783161024,The Good Dinosaur,6.699999809
1.765591447,Van Helsing,6
1.728394383,G.I. Joe: The Rise of Cobra,5.800000191
1.661629984,Disney�s A Christmas Carol,6.8
1.632014006,Alice Through the Looking Glass,6.199999809
1.612435625,Superman Returns,6
1.590514236,Ghostbusters,7.800000191
1.588017787,Dark Shadows,6.199999809
1.572972985,Prince of Persia: Sands of Time,6.6
1.534483752,Robin Hood,6.699999809
1.5099784,Waterworld,6
1.460374297,Battleship,5.800000191
1.450135136,Fun With Dick And Jane,6
1.427894457,The BFG,6.400000095
1.425477122,Rush Hour 3,6.199999809
1.398765303,Blade Runner 2049,8.300000191
1.36960258,White House Down,6.400000095
1.3624145,The Sorcerer's Apprentice,6
1.333828674,Watchmen,7.599999905
1.2999681,Beowulf,6.199999809
1.264167629,Wild Wild West,4.800000191
1.219314453,Tomorrowland,6.5
1.203739101,Flushed Away,6.599999905
1.195089689,Valerian and the City of a Thousand Planets,6.599999905
1.135467606,Poseidon,5.599999905
1.09767746,Green Lantern,5.599999905
1.079336716,Alexander,5.599999905
1.079204387,Cowboys and Aliens,6
1.028284,John Carter,6.599999905
1.016662117,Jupiter Ascending,5.300000191
1.013782579,Jack the Giant Slayer,6.300000191
1.01033904,Pan,5.800000191
1.000265467,Hugo,7.5
0.995036166,Evan Almighty,5.400000095
0.953953314,Gods of Egypt,5.400000095
0.95089572,The Wolfman,5.800000191
0.945462236,The Lone Ranger,6.5
0.866953229,47 Ronin,6.300000191
0.839116724,Sahara,6
0.800072046,King Arthur: Legend of the Sword,6.900000095
0.788020603,Deepwater Horizon,7.199999809
0.553744536,Stealth,5
0.263665053,Mars Needs Moms,5.400000095
