production_budget_usd,worldwide_gross_usd
90000000,65716126
90000000,140900000
90000000,120100000
90000000,203877963
90000000,87420776
90000000,106000000
90000000,169400000
90000000,143049560
90000000,328675540
90000000,157092943
90000000,200859554
90000000,162753837
90000000,191200000
90000000,155750628
90000000,235900000
90000000,244126300
90000000,203902107
90000000,186049020
90000000,249520430
90000000,159762983
90000000,366101666
90000000,202910991
90000000,165900000
90000000,239373970
90000000,191091250
90000000,303500000
90000000,259736090
90000000,289660619
90000000,487519809
90000000,288693989
90000000,859701857
90000000,498438212
90000000,347425832
90000000,511358276
90000000,587790539
88000000,105021488
88000000,495700000
87500000,330717080
87000000,350100280
86000000,148715342
85000000,35681080
85000000,74132631
85000000,48056764
85000000,83080084
85000000,113487912
85000000,78948765
85000000,78353508
85000000,44650003
85000000,345114933
85000000,114979922
85000000,149717124
85000000,80831893
85000000,137298489
85000000,96971293
85000000,161510853
85000000,157794205
85000000,205190324
85000000,173613482
85000000,66941559
85000000,150422946
85000000,191932158
85000000,250649836
85000000,224614744
85000000,311744465
85000000,185708462
85000000,208542162
85000000,340384141
85000000,378505812
85000000,276014965
85000000,299477886
85000000,363064265
85000000,315268353
85000000,288587450
85000000,450728529
85000000,385000317
85000000,427230516
84000000,137162560
84000000,166307945
84000000,276294164
82500000,160388063
82500000,223636949
82500000,143985708
82500000,237685089
82000000,96024898
82000000,268268174
82000000,190320568
81000000,484468608
80000000,4547660
80000000,6300451
80000000,9103630
80000000,40147042
80000000,113325743
80000000,33463969
80000000,20841123
80000000,69131860
80000000,86787530
80000000,26703184
80000000,53508858
80000000,54540662
80000000,29725663
80000000,108469033
80000000,131234406
80000000,158908290
80000000,66554547
80000000,130580730
80000000,99010667
80000000,101371017
80000000,105299638
80000000,98341932
80000000,119668350
80000000,58270391
80000000,141475336
80000000,50632037
80000000,71485043
80000000,98983590
80000000,60507228
80000000,131159306
80000000,181038616
80000000,96148711
80000000,136047317
80000000,147080413
80000000,106515310
80000000,164800000
80000000,142783718
80000000,233066978
80000000,170805525
80000000,158926474
80000000,210253368
80000000,250200000
80000000,180188905
80000000,177993801
80000000,158750817
80000000,165173909
80000000,204774690
80000000,224117573
80000000,178066569
80000000,182782518
80000000,214974953
80000000,183354514
80000000,221468935
80000000,241200000
80000000,168311558
80000000,266685242
80000000,299461782
80000000,260700012
80000000,226739416
80000000,349088523
80000000,247023808
80000000,349464664
80000000,245800000
80000000,343397247
80000000,416385488
80000000,266824291
80000000,470751398
80000000,310940997
80000000,457697994
80000000,586464305
80000000,677923379
79300000,987480140
79000000,150519217
79000000,318146162
78000000,43957541
78000000,179265204
78000000,108086731
78000000,206455420
78000000,274392649
78000000,317668058
77600000,60680125
77500000,90905178
76000000,35129610
76000000,69845011
76000000,236410607
76000000,975216835
75000000,5409517
75000000,30626690
75000000,14623082
75000000,34009180
75000000,36751979
75000000,50409753
75000000,219572877
75000000,77636443
75000000,89758389
75000000,127361412
75000000,39251128
75000000,71523271
75000000,54344321
75000000,72785169
75000000,85632458
75000000,105445109
75000000,95572749
75000000,131492772
75000000,94944017
75000000,73521587
75000000,119512771
75000000,213500000
75000000,141267370
75000000,221594911
75000000,218673959
75000000,211562435
75000000,97387965
75000000,155708695
75000000,342769200
75000000,203035572
75000000,196320329
75000000,336069511
75000000,342416460
75000000,296339717
75000000,371917043
75000000,272223430
75000000,556559566
75000000,651899282
75000000,618638999
75000000,823755831
75000000,627886287
75000000,817400878
75000000,875958307
74000000,311594032
74000000,1167245366
73243106,248099143
73000000,50168294
73000000,103891409
73000000,352829528
73000000,162870525
72500000,86509602
72500000,71880305
72500000,109362966
72500000,527071022
72000000,62176754
72000000,37306334
72000000,54616869
72000000,96947540
72000000,209045522
72000000,176101721
71682975,257641634
71500000,294156605
70702619,408269295
70000000,38992292
70000000,35417162
70000000,19548419
70000000,20107933
70000000,13596911
70000000,14294842
70000000,58953319
70000000,25852508
70000000,33076815
70000000,19870567
70000000,65409046
70000000,103735965
70000000,48197252
70000000,54612337
70000000,69157016
70000000,60279822
70000000,49730854
70000000,131445884
70000000,61031932
70000000,137022245
70000000,116625798
70000000,88933562
70000000,70546865
70000000,137431619
70000000,54243125
70000000,94973540
70000000,220241723
70000000,160379930
70000000,131011757
70000000,123954323
70000000,117800000
70000000,174102281
70000000,158702748
70000000,114658262
70000000,156815529
70000000,172543519
70000000,213463976
70000000,150562164
70000000,250700000
70000000,202726605
70000000,207068340
70000000,207154748
70000000,239814025
70000000,300854823
70000000,316915264
70000000,308700000
70000000,267200000
70000000,310138178
70000000,351500000
70000000,443483213
70000000,461651246
70000000,937008132
69000000,86796502
69000000,543495033
68000000,60265197
68000000,33462011
68000000,75685268
68000000,77224232
68000000,87173475
68000000,113542091
68000000,217022588
68000000,193500000
68000000,706102828
67500000,137489730
67500000,118556530
67500000,350976753
67000000,25357771
67000000,18115927
66000000,194169619
66000000,189176423
66000000,211700000
65000000,122519874
65000000,26670920
65000000,10014234
65000000,21778555
65000000,39499349
65000000,17218916
65000000,74575290
65000000,41636243
65000000,56409722
65000000,38253433
65000000,58545540
65000000,62761005
65000000,33447612
65000000,72516819
65000000,100851897
65000000,39017984
65000000,238940997
65000000,221662676
65000000,43545364
65000000,48164150
65000000,132397389
65000000,154362963
65000000,156974557
65000000,104267443
65000000,180148897
65000000,141205169
65000000,69688384
65000000,163295654
65000000,148345997
65000000,137768975
65000000,255000000
65000000,139840525
65000000,128874043
65000000,233700000
65000000,262758310
65000000,128468793
65000000,211739043
65000000,233125712
65000000,163527824
65000000,250800000
65000000,261400000
65000000,172825854
65000000,442169052
65000000,463517383
65000000,334100000
65000000,386116343
65000000,273346281
65000000,374105123
65000000,485035085
64000000,63200000
64000000,101636047
63700000,133603463
63000000,25052000
63000000,188657593
63000000,292738626
63000000,1038812584
62000000,18708848
62000000,40123346
62000000,145443360
62000000,107822813
62000000,127630030
62000000,207500000
61000000,132493015
61000000,310697192
61000000,145594548
61000000,368567189
60720000,552198479
60000000,194058503
60000000,11427090
60000000,13233220
60000000,30396134
60000000,20830546
60000000,10597070
60000000,50648806
60000000,12069719
60000000,22468620
60000000,14816379
60000000,14816494
60000000,66655938
60000000,20541668
60000000,39006188
60000000,35319689
60000000,49238525
60000000,48585416
60000000,49473093
60000000,80767884
60000000,26673242
60000000,71073932
60000000,147985373
60000000,84154026
60000000,30063805
60000000,39235486
60000000,75965567
60000000,38389024
60000000,54994757
60000000,47371191
60000000,32983332
60000000,33956608
60000000,121327628
60000000,47818913
60000000,78080697
60000000,36850101
60000000,88832210
60000000,124514011
60000000,78481410
60000000,81079566
60000000,108996113
60000000,82150183
60000000,67312826
60000000,82812456
60000000,57604723
60000000,197242826
60000000,104100903
60000000,68336997
60000000,95538560
60000000,160700000
60000000,101382396
60000000,104324083
60000000,131377412
60000000,104429625
60000000,111946251
60000000,90482317
60000000,100645801
60000000,98819789
60000000,159356941
60000000,108119662
60000000,101134059
60000000,56709981
60000000,169740988
60000000,160038407
60000000,99823958
60000000,129832389
60000000,87123569
60000000,71719931
60000000,193857962
60000000,162778384
60000000,90723216
60000000,252091016
60000000,165048228
60000000,102332848
60000000,126037057
60000000,186883563
60000000,100230832
60000000,137551594
60000000,124715863
60000000,130968579
60000000,217370736
60000000,206598789
60000000,135015330
60000000,157670733
60000000,170200225
60000000,196439693
60000000,165890634
60000000,152457863
60000000,199043309
60000000,200700000
60000000,217670152
60000000,218613188
60000000,149705852
60000000,164285587
60000000,176262839
60000000,356429941
60000000,172450423
60000000,214357371
60000000,238552082
60000000,264118201
60000000,310043823
60000000,290701374
60000000,247812011
60000000,253555383
60000000,454161935
60000000,457729388
60000000,516567575
58000000,30118557
58000000,80480566
58000000,100993260
58000000,41348628
58000000,59431365
58000000,93672764
58000000,100687083
58000000,50365498
58000000,87100000
58000000,188715611
58000000,158905324
58000000,547326372
58000000,801029249
57500000,58085235
57500000,295874190
57500000,415247258
57000000,62097495
57000000,38329114
57000000,104364680
57000000,149217355
57000000,153007424
56000000,386096060
56000000,47313824
56000000,198006880
56000000,195660942
55000000,1807990
55000000,1147784
55000000,6521829
55000000,69759296
55000000,28231444
55000000,9521458
55000000,22597969
55000000,11532774
55000000,12923936
55000000,16123323
55000000,74870866
55000000,18582965
55000000,60209334
55000000,53913573
55000000,136143605
55000000,75466595
55000000,43980363
55000000,63537164
55000000,34105207
55000000,47213095
55000000,67130045
55000000,113805580
55000000,38564422
55000000,90552675
55000000,70692101
55000000,74545591
55000000,151947179
55000000,79312301
55000000,154017885
55000000,129075270
55000000,158500000
55000000,110387072
55000000,122079192
55000000,71189835
55000000,149022650
55000000,63408614
55000000,153535982
55000000,98699769
55000000,189624452
55000000,176469428
55000000,196565669
55000000,87524497
55000000,259541430
55000000,198750909
55000000,212200000
55000000,214392904
55000000,159387195
55000000,163838217
55000000,152269033
55000000,282300000
55000000,192903624
55000000,126425115
55000000,174463257
55000000,220648184
55000000,376856949
55000000,273814019
55000000,300200000
55000000,347100000
55000000,307325633
55000000,304599899
55000000,366784257
55000000,362605033
55000000,679850637
54000000,7126002
54000000,50719373
54000000,66520529
54000000,166617328
54000000,130402010
54000000,154338601
54000000,108185706
53012938,107190108
53000000,22852487
53000000,50187789
53000000,63657941
53000000,54207112
53000000,179209685
53000000,139801290
53000000,98837872
53000000,131159781
53000000,109848461
52500000,134612435
52000000,23010607
52000000,53139168
52000000,47407635
52000000,97709034
52000000,75835124
52000000,110400000
52000000,217569328
52000000,205727307
52000000,615748877
52000000,355612291
51000000,46815807
51000000,118583844
51000000,149270999
50200000,126931325
50000000,15505922
50000000,26387039
50000000,1250617
50000000,3434330
50000000,6291602
50000000,6626115
50000000,37472651
50000000,8374062
50000000,12335036
50000000,9812870
50000000,22969202
50000000,10359006
50000000,10561038
50000000,41042583
50000000,26097497
50000000,14271297
50000000,16581575
50000000,56077088
50000000,41982227
50000000,60282876
50000000,28920188
50000000,22099706
50000000,42002029
50000000,23152062
50000000,41642166
50000000,34301950
50000000,26121638
50000000,31333917
50000000,34806726
50000000,40119848
50000000,25426861
50000000,53850527
50000000,26199517
50000000,66961644
50000000,42598498
50000000,64477051
50000000,27100030
50000000,27366288
50000000,80583311
50000000,52987754
50000000,55348693
50000000,83306268
50000000,56643267
50000000,105246941
50000000,113309743
50000000,89895930
50000000,34645374
50000000,46112640
50000000,57261763
50000000,49928680
50000000,62209892
50000000,38590458
50000000,69425966
50000000,39778599
50000000,263894551
50000000,55489826
50000000,62967368
50000000,41476097
50000000,119180938
50000000,83034523
50000000,49105766
50000000,50054511
50000000,94704227
50000000,76119388
50000000,156602194
50000000,48169156
50000000,80369970
50000000,82751189
50000000,50068310
50000000,97651543
50000000,125168734
50000000,92690959
50000000,119114494
50000000,69411370
50000000,104488383
50000000,146195159
50000000,214949716
50000000,236799211
50000000,71052604
50000000,156399644
50000000,88316835
50000000,144110682
50000000,117211892
50000000,105103783
50000000,67823573
50000000,130214162
50000000,96469187
50000000,208094550
50000000,111300835
50000000,118729073
50000000,161941727
50000000,186450317
50000000,152022333
50000000,161626121
50000000,147142328
50000000,185798265
50000000,128402901
50000000,238059569
50000000,159745279
50000000,222383055
50000000,225990976
50000000,223564608
50000000,178890782
50000000,257805243
50000000,171269535
50000000,257972745
50000000,172185754
50000000,217196811
50000000,203502372
50000000,202173000
50000000,314111923
50000000,238757137
50000000,274000000
50000000,390500000
50000000,331333876
50000000,556016627
50000000,491812794
50000000,687557727
49000000,71004627
49000000,20423389
49000000,105002056
49000000,72689126
48000000,25928721
48000000,77562568
48000000,90376224
48000000,70937778
48000000,50315140
48000000,71171825
48000000,86607223
48000000,112610386
48000000,107752036
48000000,151463090
48000000,124304264
48000000,327656424
48000000,196308367
48000000,208300000
48000000,248218486
48000000,474171806
47500000,18329653
47500000,112214531
47000000,12900000
47000000,11022696
47000000,14970038
47000000,37923818
47000000,29781453
47000000,116773317
47000000,102825796
47000000,203178872
47000000,162738726
46500000,16149791
46000000,4408636
46000000,100833145
46000000,113402302
46000000,113622499
46000000,150000000
46000000,160648493
46000000,298923419
45000000,73706
45000000,2154540
45000000,31681811
45000000,31077418
45000000,76904429
45000000,8488871
45000000,9676497
45000000,164539660
45000000,11203026
45000000,21544732
45000000,41467606
45000000,34668249
45000000,46598133
45000000,18120267
45000000,65532491
45000000,17492014
45000000,17220599
45000000,32952995
45000000,29406132
45000000,20133326
45000000,36404841
45000000,112006296
45000000,70216497
45000000,79564960
45000000,29367143
45000000,59551283
45000000,27447471
45000000,163126676
45000000,49610898
45000000,61475984
45000000,35627222
45000000,65595141
45000000,43343247
45000000,54855235
45000000,127990741
45000000,94215000
45000000,80594860
45000000,48563556
45000000,146162920
45000000,102746214
45000000,55842724
45000000,72359917
45000000,75854588
45000000,91342494
45000000,57362581
45000000,58617334
45000000,247950247
45000000,113916474
45000000,113417762
45000000,136998907
45000000,66790248
45000000,135808837
45000000,76665507
45000000,131237688
45000000,141189101
45000000,90523726
45000000,170327930
45000000,104505362
45000000,155931301
45000000,178100000
45000000,160971922
45000000,117615211
45000000,174810815
45000000,122071435
45000000,187995859
45000000,243180937
45000000,213420951
45000000,155200000
45000000,358500000
45000000,377807404
45000000,363095319
